"","Row.names","baseMean","log2FoldChange","lfcSE","pvalue","padj","X","GeneName"
"1","AT1G01010",893.291789590503,0.993640382488668,0.0968333837396512,3.85797600412013e-25,6.36322228069896e-24,"AT1G01010","NAC001/NTL10"
"2","AT1G01020",247.271866884735,0.0634910413141582,0.126055848252464,0.608753049142885,0.694215680984206,"AT1G01020","ARV1"
"3","AT1G01030",11.0027610258165,-0.205307364472848,0.420977736597407,0.525404002976462,0.618745692179157,"AT1G01030","NGA3"
"4","AT1G01040",1121.75420608771,0.387940083005477,0.109055762343848,0.000307120528909324,0.000854636454255449,"AT1G01040","DCL1"
"5","AT1G01050",1766.46806432373,-0.267372736907638,0.0831763873667883,0.00112512612674616,0.00283312122539578,"AT1G01050","PPA1"
"6","AT1G01060",146.034974078288,-0.0879381957940527,0.200205876463039,0.635005802659766,0.717186066907863,"AT1G01060","LHY"
"7","AT1G01070",326.004944518163,0.333538030933383,0.180043837915516,0.0533948551586343,0.0909972702496076,"AT1G01070","AT1G01070"
"8","AT1G01080",98.6723236964921,-1.08876158603513,0.193126609843848,4.65418679291266e-09,2.471241738008e-08,"AT1G01080","AT1G01080"
"9","AT1G01090",4882.92749506211,-0.106854875624988,0.0884752724425749,0.22245233305666,0.307699373770355,"AT1G01090","PDH-E1 ALPHA"
"10","AT1G01100",7966.61925862455,-0.403731080767577,0.101339168440148,5.39109359446541e-05,0.000169495493621911,"AT1G01100","RPP1A"
"11","AT1G01110",235.097669245562,-0.301491417526325,0.132675589960478,0.0221562527756471,0.0419882377904455,"AT1G01110","IQD18"
"12","AT1G01120",3065.17523581683,1.70903553257639,0.134883823485249,1.21918263008981e-37,3.51708029465701e-36,"AT1G01120","KCS1"
"13","AT1G01130",26.5737786118398,-0.378157366995383,0.385016502319077,0.229122328424228,0.315411091142605,"AT1G01130","AT1G01130"
"14","AT1G01140",237.497506839378,2.60595714122899,0.188462673200183,2.13589302597228e-44,7.8971084813615e-43,"AT1G01140","CIPK9"
"15","AT1G01150",1.79237844749273,-0.405319471869269,0.741270874610702,0.168705383663992,0.243883771826558,"AT1G01150","AT1G01150"
"16","AT1G01160",708.744536019506,0.0543067230555076,0.0771857810065252,0.471827492676995,0.568767108490271,"AT1G01160","GIF2"
"17","AT1G01170",90.1171601310772,-0.84151555838187,0.239888053048093,0.000176732642403763,0.000512367608348809,"AT1G01170","AT1G01170"
"18","AT1G01180",215.635633929465,-0.221554873662664,0.12832761237372,0.0779650666246306,0.126272934492482,"AT1G01180","AT1G01180"
"19","AT1G01190",291.568372350758,0.385463550625065,0.157241122143751,0.0114784692111104,0.0233142612139967,"AT1G01190","CYP78A8"
"20","AT1G01200",129.705099347252,-0.722846266640743,0.205642672813547,0.000212212312871448,0.000608310886256649,"AT1G01200","RABA3"
"21","AT1G01210",272.743285947135,-0.565180715727059,0.166853597727765,0.000448598476061611,0.00121409520873981,"AT1G01210","AT1G01210"
"22","AT1G01220",859.073952053667,0.369397176823977,0.0869950617182999,1.86238191519636e-05,6.29419262747047e-05,"AT1G01220","FKGP"
"23","AT1G01225",135.316358671178,0.458372834278678,0.155319393157251,0.0023575826041734,0.00554560624440492,"AT1G01225","AT1G01225"
"24","AT1G01230",679.476723353268,0.171090376964988,0.0927604629854565,0.0628676065558612,0.104680250982153,"AT1G01230","AT1G01230"
"25","AT1G01240",353.655232569037,1.07837386481835,0.225418885005625,5.07292230084895e-07,2.11656400831358e-06,"AT1G01240","AT1G01240"
"26","AT1G01250",0.39458926718017,0.0698196675058452,0.658979530945407,0.777241406361373,NA,"AT1G01250","ERF023"
"27","AT1G01260",491.094627159198,-0.27144938327969,0.120438477133899,0.021673192964566,0.041181851197082,"AT1G01260","bHLH13"
"28","AT1G01280",0,NA,NA,NA,NA,"AT1G01280","CYP703A2"
"29","AT1G01290",258.714520477809,-0.112910320076156,0.143753432496118,0.417817464256349,0.516314217951062,"AT1G01290","CNX3"
"30","AT1G01300",1822.83099595939,-0.527543865533426,0.0821487703840323,8.85412750503064e-11,5.5832849508698e-10,"AT1G01300","APF2"
"31","AT1G01305",0.208376261949447,-0.0373635183499907,0.65827549419489,0.871165619030969,NA,"AT1G01305","AT1G01305"
"32","AT1G01310",2.63554414457158,-0.362549423642377,0.692706148103904,0.230734128472854,0.317432924405692,"AT1G01310","AT1G01310"
"33","AT1G01320",803.950879160021,0.323265526158218,0.144648957678281,0.0220129204693118,0.0417487071634789,"AT1G01320","AT1G01320"
"34","AT1G01335",0,NA,NA,NA,NA,"AT1G01335","AREP1"
"35","AT1G01340",379.623876152105,0.725496835352263,0.112974399756542,6.85838220116898e-11,4.3732782624528e-10,"AT1G01340","CNGC10"
"36","AT1G01350",600.459294175452,0.519101312830032,0.113979900038302,3.56813008224659e-06,1.33280683186662e-05,"AT1G01350","AT1G01350"
"37","AT1G01355",0.273835314789032,-0.0595118572230997,0.658911406399485,0.83644245871188,NA,"AT1G01355","AT1G01355"
"38","AT1G01360",288.760428750595,0.14639222140952,0.120290502050917,0.210067304477278,0.293505419407516,"AT1G01360","PYL9/RCAR1"
"39","AT1G01370",138.938139004233,-0.752566147825101,0.174391024203162,7.53777509920098e-06,2.69619482103635e-05,"AT1G01370","HTR12"
"40","AT1G01380",43.4906708082332,0.0985100589101064,0.253322242974642,0.675850773367324,0.751871699332066,"AT1G01380","ETC1"
"41","AT1G01390",2.96549396207182,-0.00290625415124933,0.602471773886861,0.993844484852915,0.995325089250014,"AT1G01390","AT1G01390"
"42","AT1G01400",0,NA,NA,NA,NA,"AT1G01400","AT1G01400"
"43","AT1G01410",0,NA,NA,NA,NA,"AT1G01410","APUM22"
"44","AT1G01420",132.535212673291,-1.71368628362548,0.220111777380395,9.60871460572233e-16,9.25172416724584e-15,"AT1G01420","UGT72B3"
"45","AT1G01430",451.632892843585,-0.721064209153806,0.120403924527856,1.1156441612307e-09,6.28956799815551e-09,"AT1G01430","TBL25"
"46","AT1G01440",414.756642028687,0.125032489209175,0.106267150760486,0.229565380450639,0.315962178925237,"AT1G01440","AT1G01440"
"47","AT1G01450",69.2470425013475,0.266953856890472,0.235632482848695,0.224532955935075,0.310109603125916,"AT1G01450","AT1G01450"
"48","AT1G01453",53.8204908805318,-3.11511205470697,0.350389873029438,7.9793188641809e-20,9.95574857609612e-19,"AT1G01453","AT1G01453"
"49","AT1G01460",0.164992233429452,-0.00449588518605954,0.658043954148875,0.983394712022654,NA,"AT1G01460","PIP5K10/ATPIPK11"
"50","AT1G01470",16136.1611053158,1.84857636904322,0.136862289739407,1.85299658324131e-42,6.39298230211899e-41,"AT1G01470","LEA14"
