"","Row.names","baseMean","log2FoldChange","lfcSE","pvalue","padj","X","GeneName"
"1","AT1G01010",893.291789590503,0.713619761849913,0.136603572189578,2.91180004139488e-08,1.27713314542877e-06,"AT1G01010","NAC001/NTL10"
"2","AT1G01020",247.271866884735,0.0923040030418687,0.156733824681398,0.476160604241146,0.693029622489744,"AT1G01020","ARV1"
"3","AT1G01030",11.0027610258165,0.173801510001722,0.34285501528754,0.0747390714038306,0.219932228144289,"AT1G01030","NGA3"
"4","AT1G01040",1121.75420608771,-0.446531978770188,0.157078089699215,0.00114774009083104,0.0101874836925726,"AT1G01040","DCL1"
"5","AT1G01050",1766.46806432373,-0.0445700468211466,0.10954489139693,0.659351291981513,0.82460690669416,"AT1G01050","PPA1"
"6","AT1G01060",146.034974078288,0.451439577377494,0.3136331724619,0.0245210926168104,0.102545985585932,"AT1G01060","LHY"
"7","AT1G01070",326.004944518163,-0.993650708901183,0.274629226706092,2.18120225208904e-05,0.00039463401745921,"AT1G01070","AT1G01070"
"8","AT1G01080",98.6723236964921,0.0925639950507817,0.205186788821591,0.524774602368737,0.730543103244544,"AT1G01080","AT1G01080"
"9","AT1G01090",4882.92749506211,-0.1369756772747,0.118363113936405,0.18887645772091,0.401313389041795,"AT1G01090","PDH-E1 ALPHA"
"10","AT1G01100",7966.61925862455,0.289521878619264,0.140587674719497,0.0187300699358735,0.0849951310178071,"AT1G01100","RPP1A"
"11","AT1G01110",235.097669245562,-0.0236268255820315,0.160828933198417,0.85986298184961,0.935893192677134,"AT1G01110","IQD18"
"12","AT1G01120",3065.17523581683,0.354927981418496,0.188275821589787,0.0196322539475982,0.0880834605200051,"AT1G01120","KCS1"
"13","AT1G01130",26.5737786118398,0.000855837948984418,0.256456588665143,0.995003673322476,0.998084804335435,"AT1G01130","AT1G01130"
"14","AT1G01140",237.497506839378,-0.0962031322908037,0.201851793269409,0.510668106502495,0.72050398104209,"AT1G01140","CIPK9"
"15","AT1G01150",1.79237844749273,0.0382176305332623,0.284539921036037,0.240339489030464,0.465561263949001,"AT1G01150","AT1G01150"
"16","AT1G01160",708.744536019506,-0.0725388500126836,0.103360521571688,0.446006452988447,0.66767080795596,"AT1G01160","GIF2"
"17","AT1G01170",90.1171601310772,-0.1125917294795,0.232281312640262,0.446298994591718,0.6678651795548,"AT1G01170","AT1G01170"
"18","AT1G01180",215.635633929465,0.0772903857714232,0.156367774263691,0.552731473432494,0.750866788868282,"AT1G01180","AT1G01180"
"19","AT1G01190",291.568372350758,-0.21854050100063,0.202646826988651,0.151318140064812,0.350055209264478,"AT1G01190","CYP78A8"
"20","AT1G01200",129.705099347252,0.439874804694899,0.298603888092574,0.0256154476029464,0.105878513932898,"AT1G01200","RABA3"
"21","AT1G01210",272.743285947135,0.496306261029038,0.246655397493057,0.00776055454290113,0.0443977337762652,"AT1G01210","AT1G01210"
"22","AT1G01220",859.073952053667,-0.121158299607551,0.115274052416572,0.258059176424121,0.486305249487378,"AT1G01220","FKGP"
"23","AT1G01225",135.316358671178,-0.0713949282889128,0.182605340419437,0.595365732288339,0.78187668846553,"AT1G01225","AT1G01225"
"24","AT1G01230",679.476723353268,-0.128035135414137,0.123407494202389,0.23337114377275,0.457615688443837,"AT1G01230","AT1G01230"
"25","AT1G01240",353.655232569037,-0.275985671509345,0.279872100363591,0.107319816760093,0.279915970888801,"AT1G01240","AT1G01240"
"26","AT1G01250",0.39458926718017,-0.00405461797572155,0.282374762246933,0.871611986531339,NA,"AT1G01250","ERF023"
"27","AT1G01260",491.094627159198,0.564929029178349,0.176100978883831,0.00024194544117097,0.00292802534741523,"AT1G01260","bHLH13"
"28","AT1G01280",0,NA,NA,NA,NA,"AT1G01280","CYP703A2"
"29","AT1G01290",258.714520477809,-0.0913773513231245,0.171701671449268,0.50388099643684,0.715531448338037,"AT1G01290","CNX3"
"30","AT1G01300",1822.83099595939,-0.382974307923194,0.11678832952731,0.000421955109347133,0.00455321440309921,"AT1G01300","APF2"
"31","AT1G01305",0.208376261949447,0.00735268672645536,0.282637111388238,0.80625932595622,NA,"AT1G01305","AT1G01305"
"32","AT1G01310",2.63554414457158,0.036087118803301,0.282129958671183,0.432062955345551,0.654972687020475,"AT1G01310","AT1G01310"
"33","AT1G01320",803.950879160021,-0.0877557261249162,0.172317635812468,0.524778810902585,0.730543103244544,"AT1G01320","AT1G01320"
"34","AT1G01335",0,NA,NA,NA,NA,"AT1G01335","AREP1"
"35","AT1G01340",379.623876152105,-0.209709359253394,0.146419989002874,0.0945440221899344,0.257578775977621,"AT1G01340","CNGC10"
"36","AT1G01350",600.459294175452,-0.556496211379009,0.164232806221542,0.000125958800590355,0.00169118568764121,"AT1G01350","AT1G01350"
"37","AT1G01355",0.273835314789032,0.00544168755993024,0.282455065611802,0.995678667815337,NA,"AT1G01355","AT1G01355"
"38","AT1G01360",288.760428750595,0.00803238217316092,0.148746123391975,0.952756771819075,0.979368334749786,"AT1G01360","PYL9/RCAR1"
"39","AT1G01370",138.938139004233,0.11018619218104,0.196118216258025,0.44562427319305,0.667473622293355,"AT1G01370","HTR12"
"40","AT1G01380",43.4906708082332,0.480262466764692,0.415927271522323,0.0277461387385179,0.112062054962398,"AT1G01380","ETC1"
"41","AT1G01390",2.96549396207182,-0.0620923480810028,0.290832366826767,0.0687512920333377,0.208384657452994,"AT1G01390","AT1G01390"
