"Cluster","GeneID","GeneName","Order","Na_REG","NaCl (130mM)","NaNO3 (130mM)","KCl (130mM)","Sorbitol (260mM)","ABA (25uM)","NaCl (130mM)_padj","NaNO3 (130mM)_padj","KCl (130mM)_padj","Sorbitol (260mM)_padj","ABA (25uM)_padj","Cluster_order","Name"
1,"AT1G01060","LHY",6655,"NSS",0.0255459412252362,0.362265375486112,-0.0446731003105938,0.859826891566144,1.48438775173369,0.466304162742771,0.0926283328522514,0.569392842597159,0.00173468973554782,7.71452054252393e-07,"6","VI"
1,"AT5G04000","AT5G04000",6077,"NSS",0.604472244967973,0.576769153544901,0.26997069215945,0.432813802725599,0.783923496986785,0.00026347242501942,0.000452880199631661,0.0808377944551559,0.00939938440085339,2.46199051147709e-06,"6","VI"
1,"AT1G42970","GAPB",5679,"NSS",0.379105937299063,0.500691408622331,0.251254991084764,-0.111907584675321,-0.740817053569136,0.137810688070306,0.0425161537774986,0.30826055252356,0.825723161492499,0.011086906933506,"6","VI"
1,"AT1G42990","BZIP60",5378,"NSS",0.740272261943487,1.13282628058068,0.479120658125171,0.608605294159299,0.493243067197892,1.87340788389718e-14,3.92846754238016e-32,7.66759490305039e-07,4.53496571210145e-10,3.32426213933113e-07,"6","VI"
1,"AT2G41160","RBL18",6343,"NSS",0.381813711439984,0.56439406057216,0.615473702175437,0.31192136199049,0.735755412132119,0.00714295855617025,5.7276613734013e-05,1.20638344684364e-05,0.0289428858358461,1.68870910352023e-07,"6","VI"
1,"AT2G41180","SIB2",5618,"NSS",0.2768227020723,0.640608653462963,-0.169885960957646,-0.0505909355042249,-0.809434501353061,0.341488275078116,0.0153677199031151,0.624137697238382,0.924127246415332,0.00848146746825489,"6","VI"
1,"AT5G04120","IPSP",6543,"NSS",0.988547363606711,0.315906873449253,-0.497599264922989,3.11432389262864,2.83227096613058,7.52671945849156e-08,0.000510925852143681,0.223111209051424,4.19581557527463e-31,1.63032204196272e-25,"6","VI"
1,"AT1G43245","AT1G43245",6131,"NSS",0.221505309036552,0.328558930306063,0.508360031128242,0.24719564868243,0.330000738927936,0.255424944707395,0.0949945641897815,0.0116537830512165,0.217602023182415,0.0973170099157926,"6","VI"
1,"AT2G41230","ORS1",5290,"NSS",0.89453784006253,1.54777603230634,-0.0476608436380225,0.55080591784392,1.25563790581949,0.00010855286274578,3.51423738202641e-09,0.273865843260207,0.00536262942073042,8.93311705881421e-07,"6","VI"
1,"AT4G23840","AT4G23840",6185,"NSS",0.253761229622489,0.317810548297777,0.753770222826644,0.169632011305516,0.088334862105647,0.0446205427038886,0.0101947724119884,2.6419561991654e-10,0.1940769116866,0.458503086405991,"6","VI"
1,"AT2G41280","M10",5564,"NSS",0.447495405515992,0.877990957334015,-0.158497779437548,-0.216572607774434,-0.715744598011749,0.124950223788131,0.0421047941157275,NA,NA,0.959351390154764,"6","VI"
1,"AT3G51420","SSL4",5371,"NSS",0.833188133695142,0.382597628477197,0.617846608612673,0.212238108846688,-0.96320402282466,0.0114534823905064,0.065315548406822,0.0258800922196042,0.128048423064375,0.921881172742722,"6","VI"
1,"AT1G80090","PV42B",6966,"NSS",-0.102839084052682,0.556846558630345,0.551614752666595,0.845164127041525,2.09377295563932,0.0543827181714826,0.00374381520959072,0.0037431328690578,0.00119494308060979,2.26367587050458e-06,"6","VI"
1,"AT4G14090","UGT75C1",6513,"NSS",0.00135036713025258,-0.540844814798287,0.237467764584998,0.601271680317416,1.93911766398782,0.463650385336545,0.852591154982716,0.212060593572061,0.0494173038935246,5.00558522625862e-06,"6","VI"
1,"AT2G41420","WIH2",5593,"UP",0.443085551087934,0.764353046991097,0.149567459440273,0.116239997517689,0.472193083358314,7.57373337812493e-07,1.96757765909307e-18,0.1043132797609,0.235444125327007,1.00330186794271e-07,"6","VI"
1,"AT3G26840","AT3G26840",5242,"NSS",0.757897804850079,0.92425126935223,0.621514538636598,-0.0719520215632344,-0.32719935470098,1.92559959903958e-10,6.53721217858881e-15,2.0877061680335e-07,0.826308872159825,0.0402229021625338,"6","VI"
1,"AT3G26910","AT3G26910",5714,"NSS",0.158761593300615,0.634878241696455,0.290982581364831,0.150466825023023,0.412877404969307,0.208259742698315,7.88584257528818e-08,0.0161375267212415,0.241893017213618,0.000548923694871877,"6","VI"
1,"AT5G04410","NAC078/NTL11",5805,"NSS",0.30638415144716,0.508162326544989,0.315560960746415,0.170875460468781,0.304981992899145,0.000954853235457481,1.41325494779491e-08,0.000533131696946889,0.0792975533091181,0.000760694520028526,"6","VI"
1,"AT1G22600","AT1G22600",5518,"NSS",0.556636887273251,0.709256413933033,0.11063511788484,0.376271136698476,1.7398522344054,0.0109325287749616,0.00423243958762651,0.0826032553218607,0.0295263481241987,2.81750161256439e-06,"6","VI"
1,"AT2G41550","AT2G41550",6183,"NSS",0.229258991966476,0.371048435331652,0.702238814008662,0.0893239504069083,0.0229003184132077,0.174678487210816,0.0262618330307088,1.82101603652636e-05,0.566497246522646,0.77598589900029,"6","VI"
1,"AT1G01550","BPS1",5841,"NSS",0.44125233536737,0.570666749506213,0.376683052473898,0.326565015155457,0.722329671872753,1.09318325736328e-06,1.5089037992938e-10,2.87286741794045e-05,0.00040302822873447,2.8625376931647e-16,"6","VI"
1,"AT1G01560","MPK11",5286,"NSS",0.410073650506922,1.40868587513995,0.303259098508469,0.380108810961517,1.54669236028188,0.0265765740591904,5.45542720257483e-09,0.0582164393289965,0.0373689130651137,3.85312516455186e-10,"6","VI"
